college,n,k,n_suppressed,raw_rate,shrunk_rate,w_lo,w_hi,rank,AVOID,data_note
Merton College,182,32.0,0,0.17582417582417584,0.17016652111197247,0.12738556469467535,0.2376651021097431,1.0,False,
St Edmund Hall,67,12.0,0,0.1791044776119403,0.1652142214323958,0.10553487941259442,0.28747713612629794,2.0,False,
Lady Margaret Hall,86,15.0,0,0.1744186046511628,0.16390223834545692,0.10864674362052464,0.26803399225238944,3.0,False,
St Catherine's College,130,22.0,0,0.16923076923076924,0.16249091509745622,0.11449479772228963,0.24295460515394615,4.0,False,
St Anne's College,81,14.0,0,0.1728395061728395,0.16211522044176668,0.10584307626279289,0.2694633771751432,5.0,False,
Somerville College,162,27.0,0,0.16666666666666666,0.16139361134405733,0.11714404789856393,0.23163213371087543,6.0,False,
New College,178,28.0,0,0.15730337078651685,0.15340220840716381,0.1111309652006098,0.2179554484693095,7.0,False,
Christ Church,157,23.0,0,0.1464968152866242,0.1433538828509516,0.0996437089975583,0.2102363220391884,8.0,False,
Jesus College,172,25.0,0,0.14534883720930233,0.14257102741988767,0.10042891659711195,0.20576483960164876,9.0,False,
Exeter College,117,16.0,0,0.13675213675213677,0.1341141406176528,0.08596023421342294,0.21063961219708474,10.0,False,
Balliol College,235,30.0,0,0.1276595744680851,0.12695544025340563,0.09090433685484225,0.17639248245971598,11.0,False,
The Queen's College,94,12.0,0,0.1276595744680851,0.12608453740893363,0.07455740366811686,0.21000049399504478,12.0,False,
Keble College,365,44.0,0,0.12054794520547946,0.12045100588212582,0.09103649053611157,0.15796362224943103,13.0,False,
Wadham College,125,15.0,0,0.12,0.11981818803185128,0.07408523210514384,0.18857527506024374,14.0,False,
Hertford College,214,25.0,0,0.11682242990654206,0.11698135583170272,0.08039250914137558,0.166766894755768,15.0,False,
St John's College,218,25.0,0,0.11467889908256881,0.1150152826244472,0.07889367096671623,0.16380923056302393,16.0,False,
Magdalen College,219,25.0,0,0.1141552511415525,0.1145340471322947,0.07852765768416939,0.16308611640469015,17.0,False,
Mansfield College,108,10.0,1,0.09259259259259259,0.09666904112983152,0.051072779285118,0.16210013669605533,18.0,False,1yr suppressed
Brasenose College,116,10.0,1,0.08620689655172414,0.09098262694572379,0.04749884203823806,0.15144376219935554,19.0,False,1yr suppressed
Trinity College,172,15.0,0,0.0872093023255814,0.09048769408655434,0.053561039274242626,0.13889398843251163,20.0,False,
Oriel College,41,3.0,2,0.07317073170731707,0.0880924141740727,0.025197373252564145,0.19427740017211292,21.0,False,2yr suppressed
Pembroke College,41,3.0,2,0.07317073170731707,0.0880924141740727,0.025197373252564145,0.19427740017211292,21.0,False,2yr suppressed
University College,224,19.0,0,0.08482142857142858,0.08759687403532145,0.05497259399512664,0.12867077929579127,23.0,False,
Lincoln College,94,7.0,1,0.07446808510638298,0.08222488828612662,0.03653811601751902,0.14581376702609433,24.0,False,1yr suppressed
St Hilda's College,54,3.0,2,0.05555555555555555,0.072616719792141,0.019072922503838907,0.15107451463482943,25.0,False,2yr suppressed
St Peter's College,68,4.0,2,0.058823529411764705,0.07242769618884584,0.023110391480533066,0.14171889962656925,26.0,False,2yr suppressed
Worcester College,196,12.0,1,0.061224489795918366,0.06654461696582609,0.03536603821021792,0.10395230191516139,27.0,True,1yr suppressed
St Hugh's College,75,3.0,2,0.04,0.056564602785457205,0.013695816001486477,0.11113168623083756,28.0,False,2yr suppressed
Corpus Christi College,45,0.0,3,0.0,0.03651749637874514,0.0,0.07865426194064076,29.0,False,all suppressed
